TransactionID,Date,Store,City,ProductCategory,Sales,Customers,Satisfaction,DiscountPercent,day,year,month
1,2025-01-17,Store A,Toronto,Sports,2304.57,96,4.5,20,Friday,2025,January
2,2024-05-09,Store A,Toronto,Books,1968.88,,4,10,Thursday,2024,May
3,2023-09-26,Store C,Hamilton,Clothing,1078.01,98,4.2,25,Tuesday,2023,September
4,2025-03-21,Store G,Waterloo,Clothing,1329.69,86,3.1,0,Friday,2025,March
5,2024-06-29,Store A,Toronto,Electronics,2323.4,102,4.7,15,Saturday,2024,June
6,2023-10-09,Store E,Kingston,Books,1277.3,58,3.5,0,Monday,2023,October
7,2025-08-07,Store B,Ottawa,Clothing,1798.97,113,4.9,5,Thursday,2025,August
8,2024-07-30,Store F,Mississauga,Sports,2397.66,78,4.7,15,Tuesday,2024,July
9,2023-07-10,Store H,Windsor,Food,1524.89,72,5,10,Monday,2023,July
10,2025-07-08,Store C,Hamilton,Electronics,1599.62,85,4.1,10,Tuesday,2025,July
11,2024-04-13,Store C,Hamilton,Sports,710.32,79,4.5,10,Saturday,2024,April
12,2024-09-26,Store G,Waterloo,Food,1225.61,64,4,0,Thursday,2024,September
13,2024-05-29,Store E,Kingston,Home,,50,4.2,5,Wednesday,2024,May
14,2024-08-04,Store E,Kingston,Sports,1630.03,102,4.8,15,Sunday,2024,August
15,2024-04-16,Store A,Toronto,Clothing,1769.82,95,3.8,10,Tuesday,2024,April
16,2025-07-26,Store C,Hamilton,Clothing,2325.81,78,3.8,20,Saturday,2025,July
17,2024-01-05,Store G,Waterloo,Home,1660.1,76,4.7,0,Friday,2024,January
18,2023-03-05,Store G,Waterloo,Home,1403.06,111,3.5,0,Sunday,2023,March
19,2024-09-04,Store E,Kingston,Home,1657.65,55,4.8,10,Wednesday,2024,September
20,2024-09-09,Store D,London,Books,1448.46,93,4,15,Monday,2024,September
21,2023-11-18,Store C,Hamilton,Food,2486.65,57,3.9,10,Saturday,2023,November
22,2024-05-08,Store B,Ottawa,Sports,2001.8,58,3.8,15,Wednesday,2024,May
23,2025-01-24,Store D,London,Electronics,1459.88,104,4.2,5,Friday,2025,January
24,2024-05-07,Store B,Ottawa,Clothing,1534.25,86,5,0,Tuesday,2024,May
25,2025-11-12,Store B,Ottawa,Home,1707.43,150,4,5,Wednesday,2025,November
26,2025-01-06,Store F,Mississauga,Books,2345.9,120,4,0,Monday,2025,January
27,2025-05-10,Store G,Waterloo,Clothing,1180.98,88,,0,Saturday,2025,May
28,2023-10-15,Store H,Windsor,Home,1534.64,68,4.1,25,Sunday,2023,October
29,2024-05-25,Store E,Kingston,Food,891.04,59,4.1,20,Saturday,2024,May
30,2023-05-17,Store B,Ottawa,Clothing,1524.4,31,4,0,Wednesday,2023,May
31,2025-04-16,Store F,Mississauga,,2162.17,101,4.3,10,Wednesday,2025,April
32,2023-07-10,Store B,Ottawa,Home,2006.03,74,4.3,15,Monday,2023,July
33,2024-11-04,Store A,Toronto,Food,2088.1,160,4,0,Monday,2024,November
34,2025-05-18,Store H,Windsor,Electronics,1378.69,77,3.8,25,Sunday,2025,May
35,2024-03-15,Store G,Waterloo,Books,1322.1,70,4.8,10,Friday,2024,March
36,2024-05-02,Store D,London,Clothing,1957.25,61,4.2,5,Thursday,2024,May
37,2025-05-02,Store D,London,Home,1783.7,42,3.7,0,Friday,2025,May
38,2023-04-24,Store B,Ottawa,Clothing,1878.49,121,4.9,10,Monday,2023,April
39,2024-01-03,Store E,Kingston,Food,1783.55,133,4.3,0,Wednesday,2024,January
40,2023-12-22,Store C,Hamilton,Food,2190.88,102,3.9,0,Friday,2023,December
41,2025-03-06,Store D,London,Food,2187.42,72,4.4,0,Thursday,2025,March
42,2024-11-22,Store H,Windsor,Home,1573.47,105,3.6,10,Friday,2024,November
43,2025-02-02,Store H,Windsor,Clothing,66.88,15,3.7,20,Sunday,2025,February
44,2023-04-01,Store F,Mississauga,Food,1863.57,63,4.2,0,Saturday,2023,April
45,2023-06-18,Store E,Kingston,,1098.34,105,3.8,5,Sunday,2023,June
46,2024-08-14,Store E,Kingston,Sports,1508.49,116,4.5,10,Wednesday,2024,August
